t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
1,2_0_1,11,2,1.07665e-11,2.14631,200.602,-200.602
1,2_0_1,11,3,2.83329e-12,0.342776,206.4,-206.4
1,2_0_1,12,1,1.84699e-12,-0.253843,208.258,-208.258
1,2_0_1,12,2,5.72284e-12,2.12184,203.347,-203.347
1,2_0_1,12,3,1.88173e-11,0.437874,198.177,-198.177
1,2_0_1,13,1,4.94666e-13,-0.270141,213.98,-213.98
1,2_0_1,13,2,2.19487e-11,-1.02509,197.509,-197.509
1,2_0_1,13,3,1.52772e-11,0.411156,199.082,-199.082
1,2_0_1,14,1,4.48444e-09,2.85515,174.406,-174.406
1,2_0_1,14,2,1.34664e-10,-1.03043,189.63,-189.63
1,2_0_1,14,3,1.57882e-11,0.384393,198.939,-198.939
1,2_0_1,15,1,8.52896e-12,2.83886,201.614,-201.614
1,2_0_1,15,2,7.46086e-12,-1.03577,202.195,-202.195
1,2_0_1,15,3,8.94985e-12,0.357667,201.405,-201.405
1,2_0_1,16,1,1.7264e-12,2.85207,208.551,-208.551
1,2_0_1,16,2,2.81116e-13,-1.06025,216.434,-216.434
1,2_0_1,16,3,2.27846e-12,0.452823,207.346,-207.346
1,2_0_1,17,1,1.00953e-13,2.83577,220.882,-220.882
1,2_0_1,17,2,9.15235e-16,2.076,241.307,-241.307
1,2_0_1,17,3,3.07931e-11,-2.71554,196.038,-196.038
1,2_0_1,18,1,2.14361e-13,-0.322119,217.611,-217.611
1,2_0_1,18,2,7.29413e-14,2.07067,222.293,-222.293
1,2_0_1,18,3,4.89353e-11,-2.74226,194.027,-194.027
1,1_0_9,0,1,1.6678e-12,2.8013,208.701,-208.701
1,1_0_9,0,2,7.24228e-14,0.770383,222.324,-222.324
1,1_0_9,0,3,3.45676e-12,1.21996,205.536,-205.536
1,1_0_9,1,1,3.88662e-13,2.87804,215.027,-215.027
1,1_0_9,1,2,1.94432e-12,0.851387,208.035,-208.035
1,1_0_9,1,3,4.06116e-12,1.28827,204.836,-204.836
1,1_0_9,2,1,5.19516e-12,2.95479,203.767,-203.767
1,1_0_9,2,2,1.23577e-12,0.932392,210.003,-210.003
1,1_0_9,2,3,5.40379e-12,1.35658,203.596,-203.596
1,1_0_9,3,1,6.4211e-13,3.03154,212.847,-212.847
1,1_0_9,3,2,9.8516e-13,1.0134,210.988,-210.988
1,1_0_9,3,3,1.16261e-12,1.42492,210.268,-210.268
1,1_0_9,4,1,9.89333e-14,2.79668,220.969,-220.969
1,1_0_9,4,2,8.80909e-14,0.762114,221.473,-221.473
1,1_0_9,4,3,5.52171e-14,1.25611,223.502,-223.502
1,1_0_9,5,1,7.4872e-13,2.87343,212.18,-212.18
1,1_0_9,5,2,1.7915e-13,0.843119,218.391,-218.391
1,1_0_9,5,3,1.20663e-12,1.32462,210.107,-210.107
1,1_0_9,6,1,1.37998e-12,2.95018,209.524,-209.524
1,1_0_9,6,2,1.38621e-13,0.924123,219.504,-219.504
1,1_0_9,6,3,1.48614e-13,1.39332,219.202,-219.202
1,1_0_9,7,1,2.84684e-13,3.02693,216.379,-216.379
1,1_0_9,7,2,1.45458e-12,1.00513,209.295,-209.295
1,1_0_9,7,3,4.37639e-12,1.46131,204.512,-204.512
1,1_0_9,8,1,1.90432e-12,2.79207,208.125,-208.125
1,1_0_9,8,2,3.05861e-12,0.753846,206.068,-206.068
1,1_0_9,8,3,2.25273e-11,1.2928,197.396,-197.396
1,1_0_9,9,1,3.48558e-12,2.86882,205.5,-205.5
1,1_0_9,9,2,3.42539e-12,0.83485,205.576,-205.576
1,1_0_9,9,3,1.15772e-10,1.36098,190.287,-190.287
1,1_0_9,10,1,5.03822e-12,2.94557,203.9,-203.9
1,1_0_9,10,2,3.54309e-12,0.915854,205.429,-205.429
1,1_0_9,10,3,1.60978e-14,1.42985,228.855,-228.855
1,1_0_9,11,1,3.59188e-15,3.02232,235.37,-235.37
