t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
2,3_0_24,16,1,5.54176e-14,2.95702,223.486,-223.486
2,3_0_24,16,2,1.49819e-12,1.06712,209.167,-209.167
2,3_0_24,16,3,2.8423e-13,-2.58115,216.386,-216.386
2,3_0_24,17,1,2.00839e-14,2.89288,227.894,-227.894
2,3_0_24,17,2,9.46113e-13,1.00537,211.163,-211.163
2,3_0_24,17,3,6.64814e-13,-2.66573,212.696,-212.696
2,3_0_24,18,1,1.97365e-12,2.82874,207.97,-207.97
2,3_0_24,18,2,1.34966e-12,0.943612,209.621,-209.621
2,3_0_24,18,3,7.33721e-13,-2.75032,212.267,-212.267
2,2_0_1,0,1,3.06121e-12,3.03071,206.064,-206.064
2,2_0_1,0,2,9.9721e-13,1.10383,210.935,-210.935
2,2_0_1,0,3,6.59411e-13,-2.49676,212.731,-212.731
2,2_0_1,1,1,2.74914e-12,2.96657,206.531,-206.531
