t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
1,2_0_1,12,3,8.61194e-15,2.06538,231.572,-231.572
1,2_0_1,13,1,8.12694e-15,1.08269,231.824,-231.824
1,2_0_1,13,2,1.11713e-13,-2.6404,220.442,-220.442
1,2_0_1,13,3,2.66408e-14,2.08663,226.667,-226.667
1,2_0_1,14,1,1.24172e-12,1.08649,209.983,-209.983
1,2_0_1,14,2,4.89984e-14,-2.63082,224.021,-224.021
1,2_0_1,14,3,3.66476e-14,2.10788,225.282,-225.282
1,2_0_1,15,1,2.60336e-12,1.09925,206.767,-206.767
1,2_0_1,15,2,9.79423e-13,-2.62124,211.013,-211.013
1,2_0_1,15,3,6.1609e-13,2.12914,213.026,-213.026
1,2_0_1,16,1,8.09337e-12,0.996175,201.841,-201.841
1,2_0_1,16,2,4.72148e-12,-2.69063,204.182,-204.182
1,2_0_1,16,3,3.06441e-13,1.99826,216.059,-216.059
1,2_0_1,17,1,3.25389e-12,1.01056,205.799,-205.799
1,2_0_1,17,2,7.52207e-13,-2.68105,212.159,-212.159
1,2_0_1,17,3,7.19883e-13,2.01951,212.35,-212.35
1,2_0_1,18,1,1.07045e-11,1.02614,200.627,-200.627
1,2_0_1,18,2,1.32874e-11,-2.67147,199.688,-199.688
1,2_0_1,18,3,8.7749e-13,2.04076,211.49,-211.49
1,1_0_9,0,1,5.71588e-12,1.17563,203.352,-203.352
1,1_0_9,0,2,8.20375e-14,-2.52803,221.783,-221.783
1,1_0_9,0,3,3.06121e-13,2.26675,216.064,-216.064
1,1_0_9,1,1,1.03424e-11,1.18537,200.777,-200.777
1,1_0_9,1,2,1.10821e-11,-2.51845,200.477,-200.477
1,1_0_9,1,3,6.35902e-13,2.288,212.889,-212.889
1,1_0_9,2,1,5.21845e-12,1.21117,203.747,-203.747
1,1_0_9,2,2,6.40601e-11,-2.50887,192.857,-192.857
1,1_0_9,2,3,9.00444e-13,2.30926,211.378,-211.378
1,1_0_9,3,1,6.23836e-13,1.24902,212.972,-212.972
1,1_0_9,3,2,6.76285e-13,-2.49929,212.621,-212.621
1,1_0_9,3,3,2.60117e-13,2.33051,216.771,-216.771
1,1_0_9,4,1,2.10123e-13,1.14131,217.698,-217.698
1,1_0_9,4,2,8.4155e-13,-2.56868,211.672,-211.672
1,1_0_9,4,3,4.96335e-14,2.19963,223.965,-223.965
1,1_0_9,5,1,3.47211e-12,1.15004,205.517,-205.517
1,1_0_9,5,2,1.16034e-12,-2.5591,210.277,-210.277
1,1_0_9,5,3,6.64085e-13,2.22088,212.701,-212.701
1,1_0_9,6,1,1.7003e-13,1.16279,218.618,-218.618
1,1_0_9,6,2,2.89157e-12,-2.54952,206.311,-206.311
