t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,2_0_1,4,3,4.02191e-12,-0.336226,204.878,-204.878,8.25217e-07,2.8841e-07
0,2_0_1,4,4,1.26206e-11,-2.51215,199.912,-199.912,-1.25176e-06,9.11606e-07
0,2_0_1,4,5,8.31218e-12,-0.514856,201.726,-201.726,1.09379e-06,6.18815e-07
0,2_0_1,4,6,1.04772e-09,-0.501505,180.72,-180.72,1.23717e-05,6.78291e-06
0,2_0_1,5,1,7.44698e-11,-2.1504,192.203,-192.203,-2.06016e-06,3.14722e-06
0,2_0_1,5,2,7.44585e-10,-0.674047,182.204,-182.204,9.29294e-06,7.42378e-06
0,2_0_1,5,3,1.20586e-12,-0.37671,210.11,-210.11,4.45095e-07,1.76081e-07
0,2_0_1,5,4,8.05621e-09,0.601432,171.861,-171.861,3.22587e-05,-2.21372e-05
0,2_0_1,5,5,2.16698e-11,2.61873,197.564,-197.564,-1.758e-06,-1.01326e-06
0,2_0_1,5,6,9.69e-11,2.6319,191.06,-191.06,-3.74541e-06,-2.09353e-06
0,2_0_1,6,1,3.23973e-14,-2.15556,225.818,-225.818,-4.33085e-08,6.54207e-08
0,2_0_1,6,2,6.57121e-11,-0.692002,192.746,-192.746,2.72066e-06,2.25463e-06
0,2_0_1,6,3,2.92384e-09,-0.410106,176.263,-176.263,2.16152e-05,9.39737e-06
0,2_0_1,6,4,4.46266e-14,0.575194,224.427,-224.427,7.72646e-08,-5.00922e-08
0,2_0_1,6,5,1.17148e-11,2.61033,200.235,-200.235,-1.28628e-06,-7.55839e-07
0,2_0_1,6,6,1.80005e-14,2.62372,228.37,-228.37,-5.08132e-08,-2.89501e-08
0,2_0_1,7,1,8.08216e-13,0.981341,211.847,-211.847,2.17843e-07,-3.25738e-07
0,2_0_1,7,2,5.78132e-13,-0.709963,213.302,-213.302,2.51351e-07,2.16027e-07
0,2_0_1,7,3,2.29476e-12,2.68711,207.315,-207.315,-5.93277e-07,-2.89873e-07
0,2_0_1,7,4,1.17614e-14,-2.59833,230.218,-230.218,-4.04664e-08,2.44365e-08
0,2_0_1,7,5,4.49234e-13,2.60233,214.398,-214.398,-2.50694e-07,-1.50023e-07
0,2_0_1,7,6,1.59995e-12,-0.526071,208.882,-208.882,4.76803e-07,2.76857e-07
0,2_0_1,8,1,4.27941e-12,0.979183,204.609,-204.609,5.02887e-07,-7.4846e-07
0,2_0_1,8,2,4.23103e-13,2.48004,214.658,-214.658,-2.23717e-07,-1.74185e-07
0,2_0_1,8,3,1.85693e-13,2.83116,218.235,-218.235,-1.78856e-07,-5.73773e-08
0,2_0_1,8,4,2.51551e-13,-2.53719,216.917,-216.917,-1.79889e-07,1.24236e-07
0,2_0_1,8,5,1.61259e-13,-0.517482,218.848,-218.848,1.52122e-07,8.65914e-08
0,2_0_1,8,6,1.09725e-12,-0.524009,210.52,-210.52,3.95327e-07,2.28459e-07
0,2_0_1,9,1,2.44929e-12,0.973947,207.032,-207.032,3.8341e-07,-5.64235e-07
0,2_0_1,9,2,1.30324e-12,2.46208,209.773,-209.773,-3.87081e-07,-3.12704e-07
0,2_0_1,9,3,1.57011e-14,-0.346451,228.963,-228.963,5.13735e-08,1.85465e-08
0,2_0_1,9,4,2.67559e-12,-2.56533,206.649,-206.649,-5.97849e-07,3.88509e-07
0,2_0_1,9,5,3.9734e-12,-0.525647,204.931,-204.931,7.51577e-07,4.35978e-07
0,2_0_1,9,6,6.41743e-12,-0.532195,202.849,-202.849,9.51505e-07,5.60312e-07
0,2_0_1,10,1,4.91628e-12,0.968688,204.006,-204.006,5.47399e-07,-7.96522e-07
0,2_0_1,10,2,4.45132e-12,2.44413,204.438,-204.438,-7.04885e-07,-5.90667e-07
0,2_0_1,10,3,7.14172e-13,-0.387971,212.385,-212.385,3.40987e-07,1.39357e-07
0,2_0_1,10,4,2.57066e-12,-2.59339,206.822,-206.822,-5.96464e-07,3.64219e-07
0,2_0_1,10,5,3.75283e-12,-0.533826,205.179,-205.179,7.26929e-07,4.29664e-07
0,2_0_1,10,6,3.22782e-12,-0.54038,205.834,-205.834,6.71541e-07,4.02889e-07
0,2_0_1,11,1,7.07886e-12,0.963546,202.423,-202.423,6.61757e-07,-9.52397e-07
0,2_0_1,11,2,2.81422e-12,2.42617,206.429,-206.429,-5.51946e-07,-4.79642e-07
0,2_0_1,11,3,1.19968e-12,-0.427225,210.132,-210.132,4.34518e-07,1.97821e-07
0,2_0_1,11,4,6.06985e-12,-2.6216,203.091,-203.091,-9.31959e-07,5.33595e-07
0,2_0_1,11,5,5.21336e-12,-0.541936,203.752,-203.752,8.52649e-07,5.1335e-07
0,2_0_1,11,6,4.69475e-12,-0.548566,204.207,-204.207,8.05881e-07,4.92501e-07
0,2_0_1,12,1,1.68401e-13,0.960375,218.659,-218.659,1.02533e-07,-1.46571e-07
0,2_0_1,12,2,6.68131e-12,2.47457,202.674,-202.674,-8.85212e-07,-6.97028e-07
0,2_0_1,12,3,1.78921e-12,-0.282786,208.396,-208.396,5.59894e-07,1.6269e-07
0,2_0_1,12,4,1.13328e-11,-2.56178,200.379,-200.379,-1.22757e-06,8.03938e-07
0,2_0_1,12,5,8.53366e-12,-0.520273,201.611,-201.611,1.10486e-06,6.33e-07
0,2_0_1,12,6,3.19571e-14,-0.546499,225.877,-225.877,6.65727e-08,4.0496e-08
0,2_0_1,13,1,2.92395e-13,-2.18475,216.263,-216.263,-1.35787e-07,1.92657e-07
0,2_0_1,13,2,8.64149e-12,2.45662,201.557,-201.557,-9.92327e-07,-8.10659e-07
0,2_0_1,13,3,4.71664e-12,-0.321854,204.186,-204.186,8.98048e-07,2.99453e-07
0,2_0_1,13,4,3.10972e-12,-2.58976,205.996,-205.996,-6.5457e-07,4.02971e-07
0,2_0_1,13,5,4.68282e-12,-0.528423,204.218,-204.218,8.14601e-07,4.75565e-07
0,2_0_1,13,6,1.10759e-12,2.5869,210.479,-210.479,-3.89956e-07,-2.41611e-07
0,2_0_1,14,1,1.27167e-11,-2.19051,199.879,-199.879,-9.02799e-07,1.26536e-06
0,2_0_1,14,2,2.11821e-15,2.43863,237.663,-237.663,-1.53055e-08,-1.29693e-08
0,2_0_1,14,3,2.63126e-12,-0.361852,206.721,-206.721,6.61276e-07,2.50305e-07
0,2_0_1,14,4,1.39527e-12,-2.61799,209.476,-209.476,-4.45899e-07,2.57441e-07
0,2_0_1,14,5,3.76373e-14,-0.537295,225.167,-225.167,7.26487e-08,4.32811e-08
0,2_0_1,14,6,1.69023e-11,2.57871,198.643,-198.643,-1.51558e-06,-9.56278e-07
0,2_0_1,15,1,1.3337e-11,-2.19578,199.672,-199.672,-9.31377e-07,1.29096e-06
0,2_0_1,15,2,1.32813e-13,-0.720854,219.69,-219.69,1.19337e-07,1.04847e-07
0,2_0_1,15,3,9.78209e-12,-0.400679,201.018,-201.018,1.25533e-06,5.31748e-07
0,2_0_1,15,4,5.81191e-11,0.495266,193.28,-193.28,2.92376e-06,-1.57933e-06
0,2_0_1,15,5,1.37945e-12,2.59694,209.526,-209.526,-4.37877e-07,-2.65254e-07
0,2_0_1,15,6,9.49142e-12,2.57053,201.149,-201.149,-1.12981e-06,-7.25872e-07
0,2_0_1,16,1,3.10436e-12,-2.19799,206.003,-206.003,-4.50723e-07,6.21835e-07
