t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,1_0_9,11,2,8.47933e-14,1.07402,221.639,-221.639,6.04935e-08,-1.11585e-07
0,1_0_9,11,3,3.72136e-15,0.0990594,235.216,-235.216,2.64602e-08,-2.62974e-09
0,1_0_9,12,1,1.20212e-14,0.68655,230.123,-230.123,3.69637e-08,-3.02937e-08
0,1_0_9,12,2,1.54025e-14,0.817365,229.047,-229.047,3.70102e-08,-3.94554e-08
0,1_0_9,12,3,3.74068e-14,3.06383,225.193,-225.193,-8.405e-08,-6.54909e-09
0,1_0_9,13,1,4.04826e-15,0.76612,234.85,-234.85,1.99852e-08,-1.92292e-08
0,1_0_9,13,2,9.62727e-16,0.900815,241.088,-241.088,8.39846e-09,-1.06011e-08
0,1_0_9,13,3,1.43092e-14,3.13508,229.367,-229.367,-5.21406e-08,-3.39827e-10
0,1_0_9,14,1,2.54134e-14,0.84569,226.872,-226.872,4.60854e-08,-5.20067e-08
0,1_0_9,14,2,4.23688e-15,0.984265,234.652,-234.652,1.57035e-08,-2.36306e-08
0,1_0_9,14,3,3.90605e-13,-3.07687,215.005,-215.005,-2.71854e-07,1.76209e-08
0,1_0_9,15,1,2.09962e-13,0.92526,217.701,-217.701,1.20164e-07,-1.59541e-07
0,1_0_9,15,2,5.70976e-14,1.06772,223.357,-223.357,5.02166e-08,-9.12515e-08
0,1_0_9,15,3,4.86881e-14,-3.00562,224.049,-224.049,-9.5293e-08,1.30376e-08
0,1_0_9,16,1,4.74046e-13,0.683889,214.165,-214.165,2.32625e-07,-1.89616e-07
0,1_0_9,16,2,9.20395e-14,0.811064,221.283,-221.283,9.10775e-08,-9.58769e-08
0,1_0_9,16,3,1.04824e-12,3.10074,210.718,-210.718,-4.45907e-07,-1.82253e-08
0,1_0_9,17,1,5.47517e-13,0.76346,213.539,-213.539,2.33014e-07,-2.23008e-07
0,1_0_9,17,2,4.33193e-14,0.894514,224.556,-224.556,5.67834e-08,-7.07554e-08
0,1_0_9,17,3,9.18241e-13,-3.1112,211.293,-211.293,-4.17498e-07,1.26936e-08
0,1_0_9,18,1,7.76477e-14,0.84303,222.021,-222.021,8.07971e-08,-9.06912e-08
0,1_0_9,18,2,8.39814e-13,0.977964,211.681,-211.681,2.23181e-07,-3.31293e-07
0,1_0_9,18,3,3.42156e-13,-3.03995,215.581,-215.581,-2.53654e-07,2.58703e-08
1,3_0_24,0,1,1.18959e-12,2.83257,210.169,-210.169,-4.52898e-07,-1.44586e-07
1,3_0_24,0,2,2.69783e-12,-0.908479,206.613,-206.613,4.40272e-07,5.64578e-07
1,3_0_24,0,3,3.92577e-13,-3.13311,214.984,-214.984,-2.73101e-07,2.31652e-09
1,3_0_24,1,1,3.82384e-14,2.81281,225.098,-225.098,-8.06712e-08,-2.75219e-08
1,3_0_24,1,2,2.28637e-12,-0.919244,207.331,-207.331,3.99691e-07,5.24078e-07
1,3_0_24,1,3,8.74658e-13,3.12806,211.504,-211.504,-4.07621e-07,-5.51569e-09
1,3_0_24,2,1,1.89267e-13,2.79305,218.152,-218.152,-1.78231e-07,-6.47647e-08
1,3_0_24,2,2,1.21913e-13,-0.93001,220.062,-220.062,9.09864e-08,1.22004e-07
1,3_0_24,2,3,2.76785e-13,3.10605,216.501,-216.501,-2.29178e-07,-8.14918e-09
1,3_0_24,3,1,4.48655e-13,2.77329,214.404,-214.404,-2.72387e-07,-1.05117e-07
1,3_0_24,3,2,4.63936e-13,-0.940775,214.258,-214.258,1.7492e-07,2.39897e-07
1,3_0_24,3,3,3.27634e-14,3.08404,225.769,-225.769,-7.87683e-08,-4.5386e-09
1,3_0_24,4,1,1.53372e-13,2.89873,219.065,-219.065,-1.65697e-07,-4.10518e-08
1,3_0_24,4,2,5.7142e-13,-0.844471,213.353,-213.353,2.18829e-07,2.4634e-07
1,3_0_24,4,3,5.70786e-13,-3.04762,213.358,-213.358,-3.27863e-07,3.09017e-08
1,3_0_24,5,1,2.46745e-12,2.87897,207,-207,-6.61224e-07,-1.77758e-07
1,3_0_24,5,2,3.4341e-12,-0.855236,205.565,-205.565,5.29924e-07,6.09638e-07
1,3_0_24,5,3,1.01441e-12,-3.06963,210.861,-210.861,-4.37883e-07,3.15653e-08
1,3_0_24,6,1,1.59846e-12,2.85921,208.886,-208.886,-5.2927e-07,-1.5356e-07
1,3_0_24,6,2,2.55384e-12,-0.866002,206.851,-206.851,4.51301e-07,5.30619e-07
1,3_0_24,6,3,1.05983e-12,-3.09164,210.67,-210.67,-4.4818e-07,2.24047e-08
1,3_0_24,7,1,4.9735e-13,-0.302143,213.956,-213.956,2.93478e-07,9.1473e-08
1,3_0_24,7,2,2.73166e-10,2.26483,186.558,-186.558,-4.60814e-06,-5.53775e-06
1,3_0_24,7,3,5.72848e-14,-3.11366,223.342,-223.342,-1.04286e-07,2.91412e-09
1,3_0_24,8,1,3.62076e-14,-0.176705,225.335,-225.335,8.16509e-08,1.45802e-08
1,3_0_24,8,2,2.79096e-14,2.36113,226.465,-226.465,-5.17454e-08,-5.12372e-08
1,3_0_24,8,3,1.20947e-13,-2.96213,220.097,-220.097,-1.49157e-07,2.70597e-08
1,3_0_24,9,1,3.00761e-14,-0.196466,226.141,-226.141,7.41398e-08,1.47563e-08
1,3_0_24,9,2,1.67667e-13,2.35036,218.678,-218.678,-1.2547e-07,-1.26941e-07
1,3_0_24,9,3,8.19161e-15,-2.98414,231.789,-231.789,-3.89633e-08,6.18611e-09
1,3_0_24,10,1,3.72578e-14,2.92537,225.211,-225.211,-8.21774e-08,-1.80511e-08
1,3_0_24,10,2,1.71661e-14,-0.801994,228.576,-228.576,3.97072e-08,4.10475e-08
1,3_0_24,10,3,5.28679e-15,-3.00615,233.691,-233.691,-3.14034e-08,4.27951e-09
1,3_0_24,11,1,7.86032e-15,2.90561,231.968,-231.968,-3.75742e-08,-9.03536e-09
1,3_0_24,11,2,2.01881e-13,-0.812759,217.872,-217.872,1.34647e-07,1.42224e-07
1,3_0_24,11,3,2.05756e-14,-3.02816,227.789,-227.789,-6.21231e-08,7.07689e-09
1,3_0_24,12,1,2.47258e-13,3.03104,216.991,-216.991,-2.15423e-07,-2.39122e-08
1,3_0_24,12,2,1.24981e-13,-0.716456,219.954,-219.954,1.16212e-07,1.01199e-07
1,3_0_24,12,3,4.71287e-15,-2.87663,234.19,-234.19,-2.88797e-08,7.83616e-09
1,3_0_24,13,1,1.32419e-12,3.01128,209.703,-209.703,-4.97341e-07,-6.51772e-08
1,3_0_24,13,2,7.6659e-13,-0.727221,212.077,-212.077,2.85098e-07,2.53715e-07
1,3_0_24,13,3,6.41861e-14,-2.89865,222.848,-222.848,-1.0719e-07,2.6566e-08
1,3_0_24,14,1,1.52712e-12,2.99152,209.084,-209.084,-5.32605e-07,-8.0533e-08
1,3_0_24,14,2,2.07636e-12,-0.737986,207.75,-207.75,4.64683e-07,4.22585e-07
1,3_0_24,14,3,4.19458e-13,-2.92066,214.696,-214.696,-2.75445e-07,6.18646e-08
1,3_0_24,15,1,2.11351e-13,2.97176,217.673,-217.673,-1.97508e-07,-3.3869e-08
1,3_0_24,15,2,2.23089e-14,-0.748752,227.438,-227.438,4.76921e-08,4.43187e-08
1,3_0_24,15,3,2.70526e-13,-2.94267,216.601,-216.601,-2.22245e-07,4.48014e-08
1,3_0_24,16,1,1.45728e-12,3.0972,209.287,-209.287,-5.25679e-07,-2.3351e-08
1,3_0_24,16,2,8.69541e-13,-0.652448,211.53,-211.53,3.22976e-07,2.46778e-07
1,3_0_24,16,3,1.52868e-12,-2.79114,209.08,-209.08,-5.06175e-07,1.85027e-07
1,3_0_24,17,1,8.59118e-12,3.07744,201.582,-201.582,-1.275e-06,-8.19056e-08
1,3_0_24,17,2,2.55687e-12,-0.663213,206.846,-206.846,5.49247e-07,4.29108e-07
1,3_0_24,17,3,2.54618e-12,-2.81316,206.864,-206.864,-6.58361e-07,2.24356e-07
1,3_0_24,18,1,8.64307e-11,3.05768,191.556,-191.556,-4.03813e-06,-3.39645e-07
1,3_0_24,18,2,5.28713e-11,-0.673978,193.691,-193.691,2.47645e-06,1.97806e-06
1,3_0_24,18,3,2.86629e-12,-2.83517,206.35,-206.35,-7.0359e-07,2.22609e-07
1,2_0_1,0,1,7.4486e-13,0.258152,212.202,-212.202,3.6373e-07,-9.60408e-08
1,2_0_1,0,2,7.27332e-14,0.89327,222.305,-222.305,7.36918e-08,-9.15906e-08
1,2_0_1,0,3,7.23223e-12,-0.371031,202.33,-202.33,1.09246e-06,4.25023e-07
1,2_0_1,1,1,1.21055e-12,0.239129,210.093,-210.093,4.6594e-07,-1.13593e-07
1,2_0_1,1,2,7.24987e-13,0.885227,212.319,-212.319,2.34976e-07,-2.87287e-07
1,2_0_1,1,3,5.07238e-13,2.739,213.871,-213.871,-2.85623e-07,-1.21634e-07
1,2_0_1,2,1,5.21383e-12,0.220134,203.751,-203.751,9.71285e-07,-2.17334e-07
1,2_0_1,2,2,6.68922e-12,0.877184,202.669,-202.669,7.20746e-07,-8.66878e-07
1,2_0_1,2,3,1.1503e-12,-0.429204,210.315,-210.315,4.25096e-07,1.94549e-07
1,2_0_1,3,1,6.13114e-12,0.201322,203.047,-203.047,1.05751e-06,-2.15825e-07
1,2_0_1,3,2,4.54575e-12,0.869141,204.347,-204.347,5.9988e-07,-7.09815e-07
1,2_0_1,3,3,1.49084e-12,-0.459266,209.188,-209.188,4.77072e-07,2.35929e-07
1,2_0_1,4,1,1.87629e-10,0.221859,188.19,-188.19,5.82438e-06,-1.31382e-06
1,2_0_1,4,2,6.75089e-08,0.851802,162.629,-162.629,7.45929e-05,-8.52208e-05
1,2_0_1,4,3,4.82002e-12,-0.357703,204.092,-204.092,8.96403e-07,3.3506e-07
1,2_0_1,5,1,3.26802e-12,-2.93915,205.78,-205.78,-7.71896e-07,1.58434e-07
1,2_0_1,5,2,1.04222e-13,-2.29783,220.743,-220.743,-9.35311e-08,1.05139e-07
1,2_0_1,5,3,1.07945e-11,-0.387882,200.591,-200.591,1.32572e-06,5.41666e-07
1,2_0_1,6,1,2.06244e-14,0.183292,227.779,-227.779,6.15504e-08,-1.14097e-08
1,2_0_1,6,2,2.2583e-13,0.835716,217.385,-217.385,1.38919e-07,-1.53653e-07
1,2_0_1,6,3,6.2706e-07,2.72506,152.95,-152.95,-0.000315656,-0.000139653
1,2_0_1,7,1,6.18128e-13,0.164684,213.012,-213.012,3.38065e-07,-5.61827e-08
1,2_0_1,7,2,1.17206e-13,0.827673,220.233,-220.233,1.00967e-07,-1.09886e-07
1,2_0_1,7,3,1.63758e-12,2.69516,208.781,-208.781,-5.03133e-07,-2.40829e-07
1,2_0_1,8,1,2.74567e-12,0.184734,206.536,-206.536,7.09983e-07,-1.3267e-07
1,2_0_1,8,2,3.46248e-12,0.810335,205.529,-205.529,5.5905e-07,-5.87651e-07
1,2_0_1,8,3,1.46686e-13,2.79556,219.259,-219.259,-1.57049e-07,-5.66218e-08
1,2_0_1,9,1,3.30543e-12,0.165852,205.73,-205.73,7.8161e-07,-1.30834e-07
1,2_0_1,9,2,3.80197e-12,0.802291,205.123,-205.123,5.9075e-07,-6.11055e-07
1,2_0_1,9,3,7.37983e-14,-0.371093,222.242,-222.242,1.10353e-07,4.29406e-08
1,2_0_1,10,1,7.08411e-12,0.146861,202.42,-202.42,1.14767e-06,-1.69771e-07
1,2_0_1,10,2,2.80609e-12,0.794248,206.442,-206.442,5.11722e-07,-5.20861e-07
1,2_0_1,10,3,1.19051e-12,-0.402367,210.165,-210.165,4.37619e-07,1.86245e-07
1,2_0_1,11,1,7.18789e-12,0.127982,202.357,-202.357,1.15907e-06,-1.49156e-07
1,2_0_1,11,2,5.54869e-12,0.786205,203.481,-203.481,7.25448e-07,-7.2662e-07
1,2_0_1,11,3,2.20893e-12,-0.432233,207.481,-207.481,5.88259e-07,2.7138e-07
1,2_0_1,12,1,1.19245e-11,0.148073,200.158,-200.158,1.48874e-06,-2.22067e-07
1,2_0_1,12,2,3.14413e-12,0.768867,205.948,-205.948,5.55487e-07,-5.37418e-07
1,2_0_1,12,3,5.83723e-12,-0.33036,203.261,-203.261,9.96178e-07,3.41617e-07
1,2_0_1,13,1,1.64151e-12,0.129063,208.77,-208.77,5.53823e-07,-7.18777e-08
